artists,Artists_encoded
"""Cats"" 1981 Original London Cast",0
$NOT,1
$uicideBoy$,2
'In The Heights' Original Broadway Company,3
'Legally Blonde' Ensemble,4
'Legally Blonde' Greek Chorus,5
'Til Tuesday,6
(Hed) P.E.,7
*NSYNC,8
...And You Will Know Us by the Trail of Dead,9
03 Greedo,10
10 Years,11
"10,000 Maniacs",12
101 Strings Orchestra,13
10cc,14
112,15
12 Stones,16
13th Floor Elevators,17
1910 Fruitgum Company,18
2 Chainz,19
2 LIVE CREW,20
2 Pistols,21
20/20,22
21 Savage,23
24 Horas,24
24hrs,25
2NE1,26
2Pac,27
2nd II None,28
3 Doors Down,29
311,30
36 Crazyfists,31
38 Special,32
3LAU,33
3LW,34
3OH!3,35
3rd Bass,36
3rd Strike,37
4 Non Blondes,38
4 Skins,39
42 Dugg,40
5 Seconds of Summer,41
50 Cent,42
504 Boyz,43
5th Ward Boyz,44
6 Dogs,45
6LACK,46
7 Seconds,47
702,48
808 State,49
88-Keys,50
88GLAM,51
88rising,52
8Ball,53
8Ball & MJG,54
98º,55
999,56
9th Wonder,57
? & The Mysterians,58
A Boogie Wit da Hoodie,59
A Certain Ratio,60
A Day To Remember,61
A Few Good Men,62
A Fine Frenzy,63
A Flock Of Seagulls,64
A Great Big World,65
A Perfect Circle,66
A R I Z O N A,67
A Rocket To The Moon,68
A Taste Of Honey,69
A Thousand Horses,70
A Tribe Called Quest,71
A$AP ANT,72
A$AP Ferg,73
A$AP Mob,74
A$AP Rocky,75
A$AP Twelvyy,76
A*Teens,77
A-Lin,78
A-Trak,79
A. L. Lloyd,80
A. M. Rajah,81
A.R. Rahman,82
ABN,83
AC/DC,84
AFI,85
AJ Mitchell,86
AJJ,87
AJR,88
AK-7,89
ALI,90
ALO,91
ARTY,92
AUGUST 08,93
AWOLNATION,94
AZ,95
Aaliyah,96
Aaron Carter,97
Aaron Copland,98
Aaron Hall,99
Aaron Lewis,100
Aaron May,101
Aaron Neville,102
Aaron Shust,103
Aaron Tippin,104
Aaron Tveit,105
Aaron Watson,106
Aaron Y Su Grupo Ilusion,107
Aarti Mukherji,108
Ab-Soul,109
Abbey Lincoln,110
Abby Anderson,111
Abdul,112
Above & Beyond,113
Above The Law,114
Abstract,115
Academy of Ancient Music,116
Academy of St. Martin in the Fields,117
Accept,118
Acceptance,119
Ace,120
Ace Frehley,121
Ace Hood,122
Ace of Base,123
Aceyalone,124
Acker Bilk,125
Action Bronson,126
Adalberto Santiago,127
Adam & The Ants,128
Adam Ant,129
Adam Carroll,130
Adam Hicks,131
Adam Jensen,132
Adam Lambert,133
Adam Levine,134
Adam Melchor,135
Adam Pascal,136
Adan Chalino Sanchez,137
Adan Romero,138
Adele,139
Adelitas Way,140
Adema,141
Adina Howard,142
Adolescent's Orquesta,143
Adolescents,144
Adriana Caselotti,145
Adrianne Lenker,146
Adriel Favela,147
Adventure Club,148
Adventure Time,149
Aer,150
Aero Chord,151
Aerosmith,152
Aesop Rock,153
Afrika Bambaataa,154
Afrojack,155
Afroman,156
Afsal,157
After 7,158
After The Fire,159
Afu-Ra,160
Against All Authority,161
Against Me!,162
Against The Current,163
Agent Orange,164
Agent Steel,165
Agnes Baltsa,166
Agnetha Fältskog,167
Agnostic Front,168
Ago,169
Ahmad Jamal,170
Ahmad Jamal Trio,171
Aiko,172
Aimee Mann,173
Air,174
Air Supply,175
Air Traffic Controller,176
Airbourne,177
Aisha Badru,178
Aitana,179
Akademie für Alte Musik Berlin,180
Akin,181
Akinyele,182
Ako,183
Akon,184
Akwid,185
Al B. Sure!,186
Al Bowlly,187
Al Caiola,188
Al Cohn,189
Al Green,190
Al Hirt,191
Al Jarreau,192
Al Jolson,193
Al Kooper,194
Al Martino,195
Al Stewart,196
Al Wilson,197
Alabama,198
Alabama Shakes,199
Alacranes Musical,200
Alan Gilbert,201
Alan Hawkshaw,202
Alan Jackson,203
Alan Lomax,204
Alan Menken,205
Alan Parsons,206
Alan Walker,207
Alanis Morissette,208
Alannah Myles,209
Alban Berg,210
Alban Berg Quartett,211
Albert Collins,212
Albert Hammond,213
Albert Hammond Jr,214
Albert King,215
Alberto Y Roberto,216
Alcatrazz,217
Aldo Nova,218
Aldo Trujillo,219
Alec Benjamin,220
Alejandra Guzman,221
Alejandro Escovedo,222
Alejandro Fernández,223
Alejandro Lerner,224
Alejandro Sanz,225
Aleks Syntek,226
Alessandro Scarlatti,227
Alessia Cara,228
Alesso,229
Alestorm,230
Alex & Sierra,231
Alex Brightman,232
Alex Bueno,233
Alex Clare,234
Alex G,235
Alex Gargolas,236
Alex Gaudino,237
Alex Isley,238
Alex Newell,239
Alex Rose,240
Alex Turner,241
Alex Ubago,242
Alex Wiley,243
Alexander 'Skip' Spence,244
Alexander 23,245
Alexander Acha,246
Alexander Borodin,247
Alexander Melnikov,248
Alexander O'Neal,249
Alexandra,250
Alexandra Stan,251
Alexandre Desplat,252
Alexandre Tharaud,253
Alexi Murdoch,254
Alexis y Fido,255
Alexisonfire,256
Alfonso X El Sabio,257
Alfred Brendel,258
Alfredo Olivas,259
Ali,260
Ali & Gipp,261
Ali Gatie,262
Alice Chater,263
Alice Coltrane,264
Alice Cooper,265
Alice In Chains,266
Alice Merton,267
Alice Ripley,268
Alice Sixer,269
Alicia Bridges,270
Alicia Keys,271
Alicia Myers,272
Alicia Villarreal,273
Alicia de Larrocha,274
Alien Ant Farm,275
Alina Baraz,276
Aliotta Haynes Jeremiah,277
Alisha,278
Alisha Chinai,279
Alison Krauss,280
Alison Krauss & Union Station,281
Alison Moyet,282
Alison Wonderland,283
Alive 'N Kickin',284
Alka Yagnik,285
Alkaline Trio,286
All,287
All Sons & Daughters,288
All That Remains,289
All Them Witches,290
All Time Low,291
All-4-One,292
Allah-Las,293
Allan Kingdom,294
Allen Toussaint,295
Allie X,296
Allister,297
Allman Brothers Band,298
Allstar Weekend,299
Alma Cogan,300
Almendra,301
Almighty,302
Aloe Blacc,303
Alok,304
Alphaville,305
Alphonse Mouzon,306
Alter Bridge,307
Altered Images,308
Aluna,309
AlunaGeorge,310
Alvaro Torres,311
Alvin Lee,312
Alvin Stardust,313
Alvvays,314
Aly & AJ,315
Aly & Fila,316
Alyson Williams,317
Amadeus Quartet,318
Amaia Montero,319
Aman Trikha,320
Amanda Bynes,321
Amanda Miguel,322
Amanda Perez,323
Amanda Seyfried,324
Amanda Shires,325
Amar,326
Amazing Rhythm Aces,327
Amber,328
Amber Efe,329
Amber Mark,330
