genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,Artists_encoded
tropical,0.2090666666666666,0.773,207244.0,0.7520000000000001,0.0,0.0709333333333333,-7.029,0.0597333333333333,109.20866666666666,0.341,74.0,1,1,6,2029
show tunes,0.400775,0.59475,256781.75,0.7875,0.0,0.22135,-5.2865,0.090325,116.993875,0.55625,49.8125,10,1,16,6060
show tunes,0.345,0.534,235286.0,0.754,0.0,0.248,-5.937,0.221,93.646,0.7020000000000001,66.0,5,0,1,232
classical,0.9853041666666674,0.3624670833333332,212896.34166666667,0.10232875,0.7834244287916674,0.1540487500000001,-22.896354166666693,0.0479620833333333,97.55095833333333,0.2745550000000001,3.1958333333333333,5,1,240,6953
pop,0.2198489473684211,0.7223157894736842,208123.0263157895,0.6331315789473685,0.001051102368421,0.1618999999999999,-5.733868421052631,0.1019947368421052,120.28205263157896,0.5026315789473683,61.157894736842096,11,1,38,6645
vocal jazz,0.7763333333333334,0.4926666666666668,242738.0,0.4143333333333333,0.0029453333333333,0.1120666666666666,-10.610666666666669,0.0785666666666666,103.94299999999998,0.461,35.0,2,0,6,2711
punk,0.0012,0.269,193187.0,0.914,9.13e-06,0.347,-5.9179999999999975,0.129,134.244,0.652,47.0,4,1,2,8384
mellow gold,0.3653864285714287,0.5416989795918363,259601.8647959184,0.6141816326530617,0.0212997796938775,0.2559234693877551,-9.28345663265307,0.0589125,121.90571173469384,0.5485729591836729,40.69642857142857,0,1,392,944
pop rock,0.155145,0.5702499999999999,221343.5,0.7502499999999999,0.004892,0.136425,-5.2375,0.0946749999999999,124.7915,0.5277499999999999,62.75,8,1,8,5753
tropical house,0.20844,0.7091000000000001,179232.5,0.6318999999999999,0.00085806,0.18157,-4.9521,0.11758,121.1044,0.3278599999999999,60.6,6,0,10,9225
reggaeton,0.591,0.7101999999999999,240088.0,0.4628,0.000392906,0.32084,-6.380999999999999,0.0745,112.3604,0.4232,77.0,7,1,5,3920
pop rap,0.1159185789473684,0.7348947368421053,282707.94736842107,0.6186842105263157,1.2273684210526317e-06,0.2032999999999999,-6.1096315789473685,0.219578947368421,102.4283684210526,0.4130526315789473,62.42105263157895,1,1,19,3918
traditional folk,0.466,0.6032,175580.4,0.35804,0.00051036,0.3476000000000001,-15.618199999999996,0.0551399999999999,125.1722,0.7529999999999999,28.2,10,1,10,4196
album rock,0.382,0.5379999999999999,120974.0,0.748,0.0159,0.613,-7.03,0.0314,143.82399999999996,0.961,19.0,0,1,2,4066
tropical house,0.245,0.7236,185542.4,0.7196,7.496e-06,0.1598,-5.862400000000001,0.0414,120.2244,0.6526,70.2,6,1,5,2839
gangster rap,0.0994972280701754,0.7973157894736841,213810.70175438595,0.5658947368421053,0.0004247119298245,0.2098473684210526,-6.952350877192981,0.2159964912280702,110.1677192982456,0.3969929824561405,62.82456140350878,10,1,57,9348
hip hop,0.05333,0.6877692307692307,276613.8076923077,0.6868846153846153,3.746153846153846e-06,0.23645,-8.43507692307692,0.205576923076923,115.53326923076922,0.6663846153846154,38.230769230769226,1,1,26,1228
show tunes,0.754,0.52,331360.0,0.2133333333333332,0.0,0.1567666666666667,-13.618666666666668,0.1775,122.64433333333334,0.3453333333333333,47.33333333333334,7,1,3,1643
country,0.1559896428571429,0.7525714285714287,239739.6071428572,0.6691785714285714,0.0083464221428571,0.2063785714285713,-8.479928571428571,0.2956428571428571,128.55889285714278,0.6479999999999998,46.17857142857143,9,1,28,893
alternative rock,0.0974625,0.377625,313065.0,0.7397499999999999,0.040401175,0.2029,-7.065000000000001,0.0355625,129.995,0.3333750000000001,58.5,9,1,16,8666
quiet storm,0.4712535714285715,0.6536190476190475,257137.32142857145,0.4685285714285712,0.0651612805952381,0.2098773809523808,-12.269083333333333,0.0642559523809523,111.73839285714288,0.6290607142857141,40.52380952380953,9,1,168,927
adult standards,0.8576,0.2202,187858.8,0.3441999999999999,0.0007299399999999,0.12856,-11.8922,0.0351999999999999,118.3676,0.26696,16.8,1,1,10,4044
folk rock,0.00724,0.562,148653.0,0.516,0.107,0.0826,-12.981,0.034,124.392,0.723,21.0,2,1,2,337
